Place_ID,To,lon,lat,country
121,France,2.213749,46.227638,France
122,French Caribbean,-61.08333333,14.6,Martinique
123,"French Caribbean, colony unspecified",-61.08333333,14.6,Martinique
124,Gabon,11.609444,-0.803689,Gabon
125,Gallinhas,-13.2344,8.4844,Sierra Leone
126,Gambia,-15.310139,13.443182,Gambia
127,Georgia,-82.9000751,32.1656221,United States of America
128,Gibraltar,-5.353585,36.140751,Spain
129,Glasgow,-4.251806,55.864237,United Kingdom
130,"Gold Coast, Fr. definition",-0.1825,5.546944444,Ghana
131,"Gold Coast, port unspecified",-0.1825,5.546944444,Ghana
132,Gor_e,-17.3989282,14.6678596,Senegal
133,Great Britain,-3.435973,55.378051,United Kingdom
134,Greenock,-4.771983,55.956476,United Kingdom
135,Grenada,-61.679,12.1165,Grenada
136,Groningen,6.5665018,53.2193835,Netherlands
137,Guadaloupe,-61.58333333,16.25,Guadeloupe
138,Guanimar,-82.6523952,22.6910818,Cuba
139,Guiana,-58.93018,4.860416,Guyana
140,Hamburg,10.0014,53.5653,Germany
141,Hampton,-76.3452218,37.0298687,United States of America
142,Havana,-82.345189,23.0540698,Cuba
143,Hellevoetsluis,4.13181,51.8318632,Netherlands
144,Hispaniola,-71.5723953,19.0018663,Dominican Republic
145,Honduras,-86.241905,15.199999,Honduras
146,Honfleur,0.233262,49.418762,France
147,Ile de France,2.6370411,48.8499198,France
148,Iles de Los,-13.7607783,9.500819,Sierra Leone
149,Ilha de Itamaric,-34.8258,-7.7478,Brazil
150,Ilha de Marambaia,-47.3181156,-23.1845343,Brazil
151,Ilha de Paquetà,-43.1080757,-22.7660822,Brazil
152,Ilha Grande,-41.8189517,-2.8581081,Brazil
153,Inhambane,35.3959879,-23.8879561,Mozambique
154,Isla de Pinas,-82.85,21.75,Cuba
155,Jacmel,-72.5263984,18.2430063,Haiti
156,Jacquin,2.15,6.65,Benin
157,Jamaica,-77.297508,18.109581,Jamaica
158,Jamaica or St. Kitts,-77.297508,18.109581,Jamaica
159,J_r_mie,-74.1181234,18.6389698,Haiti
160,Kingston,-76.8,17.9833,Jamaica
161,Kingston (Demerera),-58.1260851,6.7898479,Guyana
162,"Kingston, Savannah, Maryland",-76.6412712,39.0457549,United States of America
163,Kormantine,-1.090278,5.2025,Ghana
164,La Balise,-89.1072,29.1225,USA
165,La Guiara,-66.9213628,10.587508,Venezuela
166,La Rochelle,-1.151139,46.160329,France
167,"Lagos, Onim",3.3792057,6.5243793,Nigeria
168,Lancaster,-2.801,54.047,United Kingdom
169,Lay,-1.770792,12.52262,Burkina Faso
170,Le Havre,0.107929,49.49437,France
171,L_ogane,-72.623987,18.5128379,Haiti
172,Limerick,-8.6304975,52.6680204,Ireland
173,Lisbon,-9.1393366,38.7222524,Portugal
174,Liverpool,-2.9915726,53.4083714,United Kingdom
175,Loango,15.2778185,-4.3423149,Democratic Republic of the Congo
176,London,-0.1277583,51.5073509,United Kingdom
177,Lorient,-3.3702449,47.7482524,France
178,Louisiana,-91.9623327,30.9842977,United States of America
179,Lower James River,-78.6594259,37.5890477,United States of America
180,Lucea,-78.1763937,18.4504186,Jamaica
181,Lyme,-2.94,50.725,United Kingdom
182,Maca_,-41.7827461,-22.3836705,Brazil
183,Madagascar,46.869107,-18.766947,Madagascar
184,Madeira,-16.9594723,32.7607074,Portugal
185,"Magari, Manzanillo",-77.1086,20.3397,Brazil
186,Malembo,34.8168791,-14.2292361,Malawi
187,Mangaratiba,-44.0413146,-22.9598984,Brazil
188,MaranhÜo,-45.2744159,-4.9609498,Brazil
189,Margarita,-63.9113296,10.9970723,Venezuela
190,Mariel,-82.7535929,22.9874431,Cuba
191,Marseille,5.36978,43.296482,France
192,Martha Brae,-77.6600552,18.4704799,Jamaica
193,Martinique,-61.024174,14.641528,France
194,Maryland,-76.6412712,39.0457549,United States of America
195,Matanzas,-81.3399414,22.5767123,Cuba
196,Mississippi,-89.3985283,32.3546679,United States of America
197,Mobile,-88.0398912,30.6953657,United States of America
198,Moerdijk,4.6273499,51.7018167,Netherlands
199,Monte Christi,-71.6406361,19.8473452,Dominican Republic
200,Montego Bay,-77.8938895,18.4762228,Jamaica
201,Montevideo,-56.1645314,-34.9011127,Uruguay
202,Montrose,-2.466115,56.706922,United Kingdom
203,Montserrat,-62.187366,16.742498,Montserrat
204,Mozambique,35.529562,-18.665695,Mozambique
205,Mpinda,26.237695,-29.1391449,South Africa
206,Nantes,-1.553621,47.218371,France
207,Nassau,-77.355413,25.0479835,The Bahamas
208,Netherlands,5.291266,52.132633,Netherlands
209,"Netherlands, port unspecified",5.291266,52.132633,Netherlands
210,Nevis,-62.5796026,17.1553558,Saint Kitts and Nevis
211,New Bedford,-70.934205,41.6362152,United States of America
212,New Calabar,8.3278185,4.9588185,Nigeria
213,New Orleans,-90.0715323,29.9510658,United States of America
214,New Providence,-74.4015405,40.6984348,United States of America
215,New York,-74.0059413,40.7127837,USA
216,Newport,-71.3128285,41.4901024,United States of America
217,Norfolk,-76.2858726,36.8507689,United States of America
218,North Carolina,-79.0192997,35.7595731,United States of America
219,North Potomac,-77.2347674,39.097769,United States of America
220,Nova Zeelandia (Wild Coast),-58.516667,6.783333,Guyana
221,Odessa,30.7233095,46.482526,Ukraine
222,"Other Dutch Americas, colony unspecified",-55.15,5.825277778,Guyana
223,Oxford,-1.2577263,51.7520209,United Kingdom
224,Oyapock,-51.80111111,3.888888889,French Guiana
225,Parà,-54.9306152,-1.9981271,Brazil
226,ParaÕba,-36.7819505,-7.2399609,Brazil
227,Paramaribo,-55.2038278,5.8520355,Suriname
228,Paranaguà,-48.5229975,-25.5165725,Brazil
229,Patuxent,-76.747688,38.539967,United States of America
230,Pernambuco,-36.954107,-8.8137173,Brazil
231,Petit-Goäve,-72.8545019,18.4311407,Haiti
232,Philadelphia,-75.1652215,39.9525839,United States of America
233,Pillau,19.9228947,54.6591222,Russia
234,Piscataqua,-70.7911832,43.1054871,United States of America
235,Plymouth,-4.1426565,50.3754565,United Kingdom
236,Pointe-ö-Pitre,-61.5340424,16.2376869,Guadeloupe
237,Ponta Negro,-35.1711,-4.7691623,Republic of the Congo
238,Poole,-1.987248,50.71505,United Kingdom
239,Popo,17.3910321,-3.3239139,Democratic Republic of the Congo
240,Port Louis,57.502332,-20.1668958,Mauritius
241,Port Maria,-76.8922729,18.3653596,Jamaica
242,Port Royal,-76.8411038,17.9367669,Jamaica
243,Port-au-Prince,-72.3074326,18.594395,Haiti
244,Port-de-Paix,-72.8308692,19.9348887,Haiti
245,Porto Novo,2.6288523,6.4968574,Benin
246,Portobelo,-79.6530174,9.5488889,Panama
247,Portsmouth (NH),-70.7625532,43.0717552,United States of America
248,Portuguese Guinea,-77.0459746,-12.0575359,Peru
249,Poulton,-2.986281,53.843964,United Kingdom
250,Princes Island,6.7333,0.33333,Sao Tome and Principe
251,Princes Island and Sê£o Tomê©,6.7333,0.33333,Sao Tome and Principe
252,Providence,-71.4128343,41.8239891,United States of America
253,Puerto Padre,-76.606611,21.1878548,Cuba
254,Puerto Rico,-66.590149,18.220833,Puerto Rico
255,Quilimane,36.9218584,-17.8502636,Mozambique
256,Rappahannock,-76.675922,37.7989119,USA
257,Rhode Island,-71.4774291,41.5800945,United States of America
258,Rio de Janeiro,-43.1728965,-22.9068467,Brazil
259,Rio de Janeiro province,-43.2093973,-22.9139476,Brazil
260,"Rio de Janeiro, Sao Paulo, Santa Catarina",-43.0856703,-22.8344981,Brazil
261,Rio de la Hacha,11.54416667,11.54416667,Colombia
262,Rio Grande do Sul Province,-51.2176986,-30.0346316,Brazil
263,Rio Pongo,-14.03333333,10.16666667,Guinea
264,Rio Real,-37.9335881,-11.4818089,Brazil
265,Rio SÜo Jeso,-49.38111111,-20.80805556,Brazil
266,River Brass,6.224294,4.317373,Nigeria
267,River del Rey,8.65,4.733333333,Cameroon
268,Rochefort,-0.961697,45.936698,France
269,Rotterdam,4.4777325,51.9244201,Netherlands
270,Sagua,-82.3730957,23.0570433,Cuba
271,Saint Ann's Bay,-77.1973997,18.4329473,Jamaica
272,Saint-Domingue,-69.9312117,18.4860575,Dominican Republic
273,Saint-Malo,-2.025674,48.649337,France
274,Saint-Marc,-72.6949373,19.104927,Haiti
275,Saint-Pierre,-61.1758,14.7417,Martinique
276,Santa Catarina,-50.2188556,-27.2423392,Brazil
277,Santiago de Cuba,-75.8301537,20.01693,Cuba
278,Santo Domingo,-69.9312117,18.4860575,Dominican Republic
279,Santos,-46.3288865,-23.9678823,Brazil
280,SÜo SebastiÜo,-45.4016534,-23.8063468,Brazil
281,SÜo Tom_,6.733343,0.3301924,Sao Tome and Principe
282,SÜo Tom_ or Princes Island,6.733343,0.3301924,Sao Tome and Principe
283,Savanna la Mar,-78.1393397,18.2291677,Jamaica
284,Savannah,-81.0998342,32.0835407,United States of America
285,Senegal,-14.452362,14.497401,Senegal
286,"Senegambia and offshore Atlantic, port unspecified",-16.6,13.46666667,The Gambia
287,Sherbro,-12.6675575,7.5554328,Sierra Leone
288,Shoreham,-0.2715558,50.8342086,United Kingdom
289,Sierra Leone,-11.779889,8.460555,Sierra Leone
290,"Sierra Leone, port unspecified",-11.779889,8.460555,Sierra Leone
291,South Carolina,-81.1637245,33.836081,United States of America
292,South Potomac,-77.2085914,39.0181651,United States of America
293,Southeast Brazil,-51.92528,-14.235004,Brazil
294,Spain,-3.74922,40.463667,Spain
295,Spanish Americas,-77.781167,21.521757,Cuba
296,Spanish Central America,-86.241905,15.199999,Honduras
297,Spanish West Indies,-69.9312117,18.4860575,Dominican Republic
298,"Spanish West Indies, colony unspecified",-69.9312117,18.4860575,Dominican Republic
299,St. Augustine,-81.3124341,29.9012437,United States of America
300,St. Barth_lemy,-62.833333,17.9,Saint Barthelemy
301,St. Croix,-64.858516,17.7058446,United States Virgin Islands
302,St. Eustatius,-62.973555,17.4890306,Netherlands
303,St. Kitts,-62.6667,17.25,Saint Kitts and Nevis
304,St. Lucia,-60.978893,13.909444,Saint Lucia
305,St. Maarten,-63.05483,18.04248,Sint Maarten
306,St. Paul de Loanda,13.234444,-8.838333,Angola
307,St. Thomas,-64.9534009,18.335361,United States Virgin Islands
308,St. Vincent,-61.2,13.25,Saint Vincent and the Grenadines
309,Stabroek,-58.159969,6.807041,Guyana
310,Stockton,-1.32,54.57,United Kingdom
311,Surinam,-56.027783,3.919305,Suriname
312,Taipu,-35.5975708,-5.6234602,Brazil
313,Texel,4.808668,53.0995532,Netherlands
314,Tobago,-60.667,11.25,Republic of Trinidad and Tobago
315,Tortola,-64.6332782,18.4334704,British Virgin Islands
316,Tortuga,-72.7924612,20.0548685,Haiti
317,Trinidad,-61.248611,10.460556,Republic of Trinidad and Tobago
318,Trinidad de Cuba,-79.9808143,21.7960343,Cuba
319,Ubatuba,-45.0838481,-23.4336578,Brazil
320,Upper James River,-78.6594259,37.5890477,United States of America
321,USA,-95.712891,37.09024,United States of America
322,"USA, location unspecified",-95.712891,37.09024,United States of America
323,Vannes,-2.760847,47.658236,France
324,Vera Cruz,-96.153333,19.190278,Mexico
325,Virginia,-78.6568942,37.4315734,United States of America
326,VitÑria,-40.2957768,-20.2976178,Brazil
327,Vlissingen,3.5709125,51.4536672,Netherlands
328,Warren,-71.2825,41.7303,United States of America
329,"West Central Africa and St. Helena, port unspecified",-5.716667,-15.95,United Kingdom
330,West Indies,-78.6568942,21.4691137,Cuba
331,Whitehaven,-3.589233,54.549699,United Kingdom
332,Whydah,28.3718096,-26.1156382,South Africa
333,Windward + Ivory + Gold +  Benin,-3.470278,5.161389,Cote d'Ivoire
334,Windward Coast (Nunez - Assini),-3.470278,5.161389,Cote d'Ivoire
335,"Windward Coast, port unspecified",-3.470278,5.161389,Cote d'Ivoire
336,York River,-76.5603828,37.2830504,United States of America
337,Zanzibar,39.202641,-6.165917,United Republic of Tanzania
338,Zeeland,3.8496815,51.4940309,Netherlands
